SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.0.8802.1.1.2.1.1.6.1.3.22, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.23, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.24, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.25, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.26, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.27, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.28, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.29, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.30, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.31, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.32, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.33, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.34, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.35, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.36, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.37, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.38, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.39, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.40, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.41, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.42, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.43, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.44, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.45, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.46, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.47, Type=Integer, Value=2
OID=.1.0.8802.1.1.2.1.1.6.1.3.48, Type=Integer, Value=2
